"filename", "language", "Svelte", "TypeScript", "HTML", "PostCSS", "JSON with Comments", "JSON", "JavaScript", "Markdown", "Ignore", "Docker", "comment", "blank", "total"
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/card/card-footer.svelte", "Svelte", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/card/card-header.svelte", "Svelte", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/card/card-title.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/card/card.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/card/index.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-content.svelte", "Svelte", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-description.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-footer.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-header.svelte", "Svelte", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-overlay.svelte", "Svelte", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-portal.svelte", "Svelte", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/dialog-title.svelte", "Svelte", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dialog/index.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 35
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dropdown-menu/dropdown-menu-checkbox-item.svelte", "Svelte", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dropdown-menu/dropdown-menu-content.svelte", "Svelte", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dropdown-menu/dropdown-menu-item.svelte", "Svelte", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dropdown-menu/dropdown-menu-label.svelte", "Svelte", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/connerreplogle/dev/memory-io/packages/memory_web/src/lib/components/ui/dropdown-menu/dropdown-menu-radio-group.svelte", "Svelte", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
